candidate,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std,cv_f1_mean,cv_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_neg_brier_score_mean,cv_neg_brier_score_std,validation_n,validation_positive_support,validation_threshold,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_roc_auc,validation_pr_auc,validation_pr_auc_definition,validation_pr_auc_trapezoidal,validation_brier_score,validation_cost,selected_threshold,fit_seconds,search_best_params,cv_source
dummy,0.03383333333333334,0.0004564354645876376,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.032688732638888884,0.0004255072073257363,2000,68,0.03383333333333333,0.034,0.5,0.034,1.0,0.0,0.06576402321083172,0.5,0.034,average precision (non-interpolated),0.517,0.03284402777777778,1932.0,0.03383333333333333,0.3240075996145606,,
logistic_regression,0.4894791559966625,0.07080952376445879,0.9214093789888764,0.018661136466569517,0.8376829268292683,0.05294073662397525,0.1668362469185008,0.009394017393607396,0.27806183347999736,0.013717338705567038,0.8454422042435296,0.023066302883576684,-0.10700112073033223,0.008064667782127085,2000,68,0.6085653476296888,0.8865,0.8490287419315552,0.20446096654275092,0.8088235294117647,0.8892339544513458,0.3264094955489614,0.9208379003775422,0.43457806261180454,average precision (non-interpolated),0.42990124612951924,0.11475752457455272,279.0,0.6085653476296888,0.6628254000097513,,
random_forest,0.9001966756506674,0.04780300922845548,0.9705290093581442,0.019912475401789073,0.8325609756097562,0.0401967573074854,0.9497818074598261,0.03645951150095128,0.8870403857745629,0.0346974511727151,0.9155041794534455,0.02041856580610736,-0.007866520414125366,0.001967395110095886,2000,68,0.27904037338435955,0.9855,0.9002709779564,0.7746478873239436,0.8088235294117647,0.9917184265010351,0.7913669064748201,0.9790220436000487,0.8606430087570897,average precision (non-interpolated),0.8609293906111259,0.01024296147568197,81.0,0.27904037338435955,11.921945600304753,,
hist_gradient_boosting,0.866853340949483,0.03398719456503024,0.9652537123081801,0.030724124586015474,0.8085365853658537,0.08753345582890906,0.767627293341579,0.07694177320596048,0.7852191264699847,0.06992650871657465,0.8998691376443979,0.04418895546588225,-0.01241466453027342,0.0043409990646292385,2000,68,0.33787504755990433,0.982,0.8984593837535014,0.7051282051282052,0.8088235294117647,0.9880952380952381,0.7534246575342466,0.9679012909511631,0.8434466653458609,average precision (non-interpolated),0.8428875332229117,0.01269967404386576,88.0,0.33787504755990433,6.242048199754208,,
xgboost,0.8778654909903206,0.06347761361582392,0.9747110169543799,0.023048314462714364,0.8771951219512195,0.06647404256042208,0.5949710066479776,0.042974262505200485,0.707886579466044,0.040701698992199664,0.9280751129675172,0.0329815623794356,-0.01993481692967803,0.002373357076970257,2000,68,0.5673108100891113,0.977,0.8958713920350749,0.625,0.8088235294117647,0.9829192546583851,0.7051282051282052,0.9804949153574474,0.8413692533143975,average precision (non-interpolated),0.8409634043565529,0.02376927610810583,98.0,0.5673108100891113,1.1497102999128401,,
random_forest_tuned,0.8993767392619842,0.047829385069037285,0.9689742173457295,0.02303251442250474,0.7982926829268292,0.06690444409824493,0.9700534759358288,0.04254614819447292,0.8749459904389483,0.05161251267471817,0.8987150838394224,0.03377275944217216,-0.007763249999999999,0.0018121448900812447,2000,68,0.19,0.982,0.8984593837535014,0.7051282051282052,0.8088235294117647,0.9880952380952381,0.7534246575342466,0.9722818475216174,0.8559367279832293,average precision (non-interpolated),0.8589349854547221,0.010078125,88.0,0.19,,"{'model__max_features': 0.7, 'model__min_samples_leaf': 1}",
random_forest_tuned_sigmoid,,,,,,,,,,,,,,,2000,68,0.04438671273020103,0.982,0.8984593837535014,0.7051282051282052,0.8088235294117647,0.9880952380952381,0.7534246575342466,0.9722818475216174,0.8559367279832293,average precision (non-interpolated),0.8589349854547221,0.00953290803008487,88.0,0.04438671273020103,,,random_forest_tuned (underlying classifier; calibrated wrapper assessed on validation)
xgboost_tuned,0.8843367880900617,0.0481080324009156,0.9735747309061857,0.02245748796199191,0.8476829268292683,0.051847916300919686,0.7502562654736569,0.049587106684405226,0.7947573947603358,0.038003472446926756,0.9188391576218876,0.025754778183560496,-0.012821826492268526,0.0021079522664642024,2000,68,0.3291437327861786,0.968,0.9054012909511631,0.5181818181818182,0.8382352941176471,0.972567287784679,0.6404494382022472,0.9770886615515771,0.8433468144055879,average precision (non-interpolated),0.8428111814863998,0.01662094429118606,108.0,0.3291437327861786,,"{'model__max_depth': 4, 'model__min_child_weight': 1}",
xgboost_tuned_sigmoid,,,,,,,,,,,,,,,2000,68,0.040987630001200495,0.968,0.9054012909511631,0.5181818181818182,0.8382352941176471,0.972567287784679,0.6404494382022472,0.9770886615515771,0.8433468144055879,average precision (non-interpolated),0.8428111814863998,0.011516498434873967,108.0,0.040987630001200495,,,xgboost_tuned (underlying classifier; calibrated wrapper assessed on validation)
