split,n,positive_support,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,pr_auc_definition,pr_auc_trapezoidal,brier_score,tn,fp,fn,tp
validation,2000,68,0.27904037338435955,0.9855,0.9002709779564,0.7746478873239436,0.8088235294117647,0.9917184265010351,0.7913669064748201,0.9790220436000487,0.8606430087570897,average precision (non-interpolated),0.8609293906111259,0.01024296147568197,1916,16,13,55
test,2000,68,0.27904037338435955,0.987,0.9294239434904397,0.7763157894736842,0.8676470588235294,0.9912008281573499,0.8194444444444444,0.9676729387407137,0.8856321360070167,average precision (non-interpolated),0.8877040202523144,0.00860588824653794,1915,17,9,59
